ID	PLZ	Adresse
12294	20095	Ballindamm 37
12298	20355	Wexstraße 36
12299	20355	Wexstraße 38
12301	20459	Wincklerstraße 5
12301	20459	Wincklerstraße 7
12303	20459	Wolfgangsweg 12
12304	20459	Zeughausmarkt 22
12305	20459	Zeughausmarkt 32
12306	20459	Zeughausmarkt 33
12307	20459	Zeughausmarkt 34
12316	20354	Neuer Wall 41
12321	20459	Venusberg 10
12321	20459	Venusberg 10a
12321	20459	Venusberg 10b
12322	20459	Venusberg 10c
12324	20459	Venusberg 26
12324	20459	Venusberg 26a
12324	20459	Venusberg 26b
12324	20459	Venusberg 26c
12325	20459	Venusberg 26d
12327	20459	Venusberg 30
12327	20459	Venusberg 30a
12327	20459	Venusberg 30b
12327	20459	Venusberg 30c
12333	20457	St. Annenufer 3
12334	20457	Kannengießerort 7
12334	20457	St. Annenufer 4
12334	20457	St. Annenufer 5
12334	20457	St. Annenufer 6
12337	20457	Steckelhörn 12
12340	20095	Springeltwiete 9
12340	20095	Steinstraße 13
12340	20095	Steinstraße 13a
12340	20095	Steinstraße 15
12346	20355	Brüderstraße 1
12346	20355	Wexstraße 32
12350	20355	Brüderstraße 3
12350	20355	Brüderstraße 5
12350	20355	Brüderstraße 7
12350	20355	Brüderstraße 9
12352	20355	Brüderstraße 13
12352	20355	Brüderstraße 15
12355	20355	Brüderstraße 17
12355	20355	Brüderstraße 19
12355	20355	Brüderstraße 21
12358	20355	Brüderstraße 23
12358	20355	Brüderstraße 25
12358	20355	Brüderstraße 27
12359	20355	Brüderstraße 29
12359	20355	Thielbek 3
12359	20355	Thielbek 5
12361	20355	Brüderstraße 6
12362	20355	Brüderstraße 8
12365	20355	Brüderstraße 20
12366	20354	Büschstraße 9
12370	20355	Caffamacherreihe 37
12370	20355	Caffamacherreihe 39
12372	20354	Neuer Wall 11
12373	20354	Neuer Wall 13
12374	20354	Neuer Wall 15
12375	20354	Neuer Wall 17
12376	20354	Neuer Wall 19
12377	20354	Neuer Wall 73
12377	20354	Neuer Wall 75
12378	20354	Neuer Wall 2
12379	20354	Neuer Wall 26
12379	20354	Neuer Wall 28
12380	20354	Neuer Wall 32
12385	20359	Silbersacktwiete 6
12386	20359	Simon-von-Utrecht-Straße 4a
12387	20359	Simon-von-Utrecht-Straße 17
12387	20359	Simon-von-Utrecht-Straße 18
12387	20359	Simon-von-Utrecht-Straße 19
12390	20359	Simon-von-Utrecht-Straße 24
12390	20359	Simon-von-Utrecht-Straße 25
12392	20359	Simon-von-Utrecht-Straße 80
12392	20359	Simon-von-Utrecht-Straße 81
12393	20359	Simon-von-Utrecht-Straße 83
12394	20359	Simon-von-Utrecht-Straße 85
12395	20359	Hein-Hoyer-Straße 24
12395	20359	Simon-von-Utrecht-Straße 86
12395	20359	Simon-von-Utrecht-Straße 87
12398	20359	Spielbudenplatz 26
12399	20095	Steinstraße 15a
12399	20095	Steinstraße 17
12399	20095	Steinstraße 17a
12401	20095	Mohlenhofstraße 1
12401	20095	Steinstraße 19
12401	20095	Steinstraße 19a
12403	20095	Steinstraße 23
12405	20457	Trostbrücke 1
12407	20457	Neue Gröningerstraße 4
12407	20457	Zippelhaus 1
12408	20457	Zippelhaus 2
12409	20457	Zippelhaus 3
12410	20457	Zippelhaus 4
12411	20457	Zippelhaus 5
12412	20457	Zippelhaus 6
12415	20457	Kehrwieder 4
12416	20457	Kehrwieder 5
12417	20457	Kehrwieder 6
12419	20457	Kehrwieder 7
12419	20457	Kehrwiedersteg 1
12421	20457	Auf dem Sande 2
12422	20457	Am Sandtorkai 31
12422	20457	Auf dem Sande 4
12423	20457	Auf dem Sande 1
12423	20457	Auf dem Sande 1a
12424	20457	Pickhuben 3
12425	20457	Pickhuben 5
12427	20457	Pickhuben 7
12427	20457	Pickhuben 9
12428	20457	Kannengießerort 5
12428	20457	Neuer Wandrahm 1
12428	20457	Neuer Wandrahm 2
12428	20457	Neuer Wandrahm 3
12428	20457	Neuer Wandrahm 4
12434	20457	Neuer Wandrahm 5
12435	20457	Alter Wandrahm 13
12435	20457	Alter Wandrahm 14
12435	20457	Alter Wandrahm 15
12439	20457	Alter Wandrahm 15a
12439	20457	Alter Wandrahm 16
12441	20457	Alter Wandrahm 17
12441	20457	Alter Wandrahm 18
12442	20457	Alter Wandrahm 10
12442	20457	Alter Wandrahm 11
12442	20457	Alter Wandrahm 8
12442	20457	Alter Wandrahm 9
12442	20457	Dienerreihe 2
12447	20457	Alter Wandrahm 19
12447	20457	Alter Wandrahm 20
12455	20457	Dienerreihe 4
12457	20457	Poggenmühle 2
12457	20457	Teerhof 1
12460	20457	Brooktorkai 3
12460	20457	Brooktorkai 4
12460	20457	Brooktorkai 5
12460	20457	Brooktorkai 6
12461	20457	Brooktorkai 10
12461	20457	Brooktorkai 7
12461	20457	Brooktorkai 8
12461	20457	Brooktorkai 9
12470	20457	Brooktorkai 17
12490	20095	Ballindamm 38
12496	20457	Mönkedamm 9
12497	20457	Mönkedamm 15
12502	20354	ABC-Straße 47
12503	20354	ABC-Straße 50
12504	20354	ABC-Straße 51
12505	20459	Admiralitätstraße 54
12506	20459	Admiralitätstraße 71
12506	20459	Admiralitätstraße 72
12507	20355	Bei Schuldts Stift 1
12507	20355	Enckeplatz 2
12507	20355	Hütten 10
12507	20355	Hütten 12
12507	20355	Hütten 2
12507	20355	Hütten 4
12507	20355	Hütten 6
12507	20355	Hütten 8
12508	20355	Bei Schuldts Stift 2
12508	20355	Pilatuspool 14
12508	20355	Pilatuspool 16
12508	20355	Pilatuspool 18
12508	20355	Pilatuspool 20
12508	20355	Pilatuspool 22
12508	20355	Pilatuspool 24
12512	20459	Böhmkenstraße 5
12513	20459	Böhmkenstraße 9
12513	20459	Böhmkenstraße 9a
12513	20459	Böhmkenstraße 9b
12513	20459	Venusberg 14
12514	20459	Böhmkenstraße 13
12514	20459	Böhmkenstraße 13a
12514	20459	Böhmkenstraße 13b
12514	20459	Venusberg 18
12529	20355	Breiter Gang 10
12529	20355	Breiter Gang 12
12529	20355	Breiter Gang 14
12529	20355	Breiter Gang 8
12532	20355	Caffamacherreihe 43
12532	20355	Caffamacherreihe 45
12532	20355	Caffamacherreihe 47
12532	20355	Caffamacherreihe 49
12534	20354	Colonnaden 3
12535	20354	Colonnaden 5
12536	20354	Colonnaden 9
12537	20354	Colonnaden 13
12538	20354	Colonnaden 15
12545	20354	Colonnaden 10
12545	20354	Colonnaden 12
12545	20354	Colonnaden 14
12545	20354	Colonnaden 16
12545	20354	Colonnaden 18
12545	20354	Colonnaden 20
12545	20354	Colonnaden 22
12548	20354	Colonnaden 24
12548	20354	Colonnaden 26
12548	20354	Colonnaden 28
12552	20354	Colonnaden 36
12552	20354	Colonnaden 40
12552	20354	Colonnaden 46
12552	20354	Colonnaden 48
12557	20354	Colonnaden 50
12557	20354	Colonnaden 52
12557	20354	Colonnaden 54
12557	20354	Colonnaden 56
12557	20354	Colonnaden 58
12561	20354	Colonnaden 68
12562	20354	Colonnaden 70
12564	20354	Colonnaden 96
12565	20354	Colonnaden 104
12569	20354	Dammtordamm 2
12571	20354	Dammtorstraße 20
12572	20354	Dammtorstraße 21
12573	20354	Dammtorstraße 22
12574	20354	Dammtorstraße 23
12575	20354	Dammtorstraße 25
12576	20354	Dammtorstraße 28
12576	20354	Große Theaterstraße 27
12579	20354	Dammtorwall 11
12579	20354	Dammtorwall 13
12579	20354	Dammtorwall 9
12580	20355	Dammtorwall 15
12580	20355	Valentinskamp 70
12581	20354	Dammtorwall 4
12581	20354	Gorch-Fock-Wall 1a
12582	20354	Dammtorwall 12
12582	20354	Gorch-Fock-Wall 3
12587	20459	Ditmar-Koel-Straße 13
12587	20459	Ditmar-Koel-Straße 15
12589	20459	Ditmar-Koel-Straße 16
12589	20459	Ditmar-Koel-Straße 18
12590	20355	Dragonerstall 10
12590	20355	Dragonerstall 9
12591	20354	Esplanade 17
12592	20354	Esplanade 18
12593	20354	Esplanade 20
12594	20354	Esplanade 22
12595	20354	Colonnaden 108
12595	20354	Esplanade 23
12597	20359	Beim Grünen Jäger 21
12598	22767	Bernstorffstraße 68
12599	22767	Bernstorffstraße 70
12600	22767	Bernstorffstraße 72
12601	22767	Bernstorffstraße 144
12601	22767	Bernstorffstraße 146
12602	22767	Bernstorffstraße 148
12603	22767	Bernstorffstraße 150
12604	22767	Bernstorffstraße 152
12605	22767	Bernstorffstraße 154
12606	22767	Bernstorffstraße 158
12607	22767	Bernstorffstraße 160
12607	22767	Bernstorffstraße 162
12609	20459	Ditmar-Koel-Straße 11
12609	20459	Rambachstraße 15
12615	20459	Rothesoodstraße 1
12616	20354	Schleusenbrücke 10
12620	20355	Sievekingplatz 1
12621	20355	Sievekingplatz 2
12622	20355	Sievekingplatz 3
12626	20355	Stadthausbrücke 8
12627	20355	Stadthausbrücke 12
12628	20459	Steinhöft 9
12631	20355	Steinwegpassage 11
12631	20355	Steinwegpassage 5
12632	20355	Steinwegpassage 26
12632	20355	Steinwegpassage 28
12632	20355	Wexstraße 27
12633	20354	Neuer Jungfernstieg 6
12633	20354	Neuer Jungfernstieg 6a
12635	20354	Große Theaterstraße 1a
12635	20354	Neuer Jungfernstieg 16
12637	20459	Ditmar-Koel-Straße 17
12638	20459	Ditmar-Koel-Straße 24
12639	20459	Ditmar-Koel-Straße 26
12640	20359	Paulinenstraße 10
12641	20359	Paulinenstraße 12
12642	20359	Paulinenstraße 15
12643	20359	Paulinenstraße 17
12644	22767	Paul-Roosen-Straße 5
12645	22767	Paul-Roosen-Straße 7
12647	22767	Bleicherstraße 3
12647	22767	Paul-Roosen-Straße 10
12649	20357	Schulterblatt 70
12649	20357	Susannenstraße 1
12650	20357	Schulterblatt 72
12650	20357	Schulterblatt 74
12650	20357	Susannenstraße 42
12650	20357	Susannenstraße 43
12651	20357	Schulterblatt 78
12652	20357	Schulterblatt 82
12653	20357	Schulterblatt 84
12654	20354	Esplanade 37
12655	20354	Esplanade 39
12656	20354	Esplanade 41
12660	20354	Gänsemarkt 13
12661	20354	Gänsemarkt 19
12661	20354	Gerhofstraße 29
12662	20354	Gänsemarkt 21
