Item	Bezeichnung	ist ein	lat	lon	Straße
Q28375614	Ellerholz Oberfeuer	Leuchtturm	53.4949294	9.9448668	
Q2234047	Schewes Achim	Synagoge	53.572355	10.039417	
Q800891	Bahnhof Hasselbrook	S-Bahnstation	53.56472222	10.05583333	Hammer Steindamm 58, 22089 Hamburg
Q108340770	Gymnasium Rotherbaum	weiterführende Schule	53.56918	9.97474	Bundesstraße 58
Q105339076	Schule Hinrichsenstraße	Schulgebäude	53.56025	10.03679	Hinrichsenstraße 35
Q95470222	Raphael-Schule	Waldorfschule	53.55194	9.86133	Quellental 25
Q106634557	Schule Tatenberg	Schulgebäude	53.49604	10.07629	Hofschläger Weg 1
Q1805180	Wasserturm Hamburg-Stellingen	Wohngebäude	53.58555556	9.93855556	
Q822899	U-Bahnhof Gänsemarkt	U-Bahnhof	53.55555556	9.98694444	
Q100695339	Schule Gropiusring	Schulgebäude	53.6145	10.05647	Gropiusring 43
Q91078364	Schule Bandwirkerstraße	Schulgebäude	53.57628	10.0666	Bandwirkerstraße 56
Q1797037	Landhaus Scherrer	Restaurant	53.54619444	9.91652778	
Q112633503	Rathaus Stellingen	Gebäude	53.59236	9.93425	Basselweg 73
Q98543042	Schule Hartsprung	Schulgebäude	53.60452	9.95791	Hartsprung 23
Q2465845	U-Bahnhof Borgweg	U-Bahnhof	53.59083333	10.015	
Q28078004	Bismarckbad	Hallenbad	53.552573	9.93379	
Q896114	Congress Center Hamburg	Kongresszentrum	53.56166667	9.98694444	
Q16218469	St. Maximilian Kolbe	Filialkirche	53.49805556	10.01333333	
Q113453212	Schule Fabriciusstraße	Schulgebäude	53.60502	10.06812	Fabriciusstraße 150
Q2466023	U-Bahnhof Ochsenzoll	U-Bahnhof	53.67805556	10.00138889	
Q831350	U-Bahnhof Rathaus	U-Bahnhof	53.55027778	9.99361111	
Q108307610	Paul-Gerhardt-Kirche	lutherische Kirche	53.44613	9.98733	Kapellenweg 53
Q90500071	Georg-Kerschensteiner-Schule	Schulgebäude	53.45404	9.9737	Baererstraße 81
Q113452573	Schule Heinrich-Helbing-Straße	Schulgebäude	53.59959	10.05626	Heinrich-Helbing-Straße 50
Q110103408	Schule Sieker Landstraße	Schulgebäude	53.60635	10.1708	Sieker Landstraße 18
Q1821417	Leuchtturm Estemündung	Leuchtturm	53.53579444	9.79151389	
Q72713589	Schule Neubergerweg	Schule in öffentlicher Trägerschaft	53.66769	10.0038	Neubergerweg 2
Q110315824	Freiwillige Feuerwehr Spadenland	Freiwillige Feuerwehr	53.48636	10.05435	Ruschorter Hauptdeich 1
Q2466044	U-Bahnhof Rauhes Haus	U-Bahnhof	53.55416667	10.06611111	
Q105808497	Schule Heidhorst	Schulgebäude	53.51671	10.1693	Heidhorst 16
Q19287874	Kesselhaus	Kesselhaus	53.5432849	9.9902469	Am Sandtorkai 30, 20457 Hamburg
Q1795672	Köhlbrandwerft	Werft	53.514166666667	9.9355555555556	
Q93635083	Katholische Schule Altona	Schulgebäude	53.55936	9.95602	Dohrnweg 6
Q42313180	U-Bahnhof Horner Geest	U-Bahnhof	53.559037	10.107475	
Q107214961	Schule Elfenwiese	Schulgebäude	53.4399	9.9705	Elfenwiese 3
Q78907266	Bugenhagenschule Alsterdorf	Schule	53.61633	10.02743	
Q18619271	Bahnhof Mittlerer Landweg	S-Bahnstation	53.497777777778	10.131666666667	Mittlerer Landweg 63
Q107411958	August-Hermann-Francke-Schule Bergedorf	Privatschule	53.48278	10.20101	Glasbläserhöfe 4-6
Q65056978	Helmut-Schmidt-Gymnasium	Gymnasium	53.499444444444	10.014444444444	Krieterstraße 5
Q101421672	Petruskirche	Kirchengebäude	53.588806	9.952861	
Q69083864	Sagebiels Etablissement	Mehrzweckhalle	53.55541	9.98118	Dragonerstall 14 – 15, Hamburg
Q110824029	Studentenwohnheim Rahlstedt	Kaserne	53.60736	10.17544	Sieker Landstraße 37
Q109657961	Emil Naucke's Varieté	abgegangenes Bauwerk	53.54918	9.96396	Spielbudenplatz 23-24, Hamburg
Q14531344	Zur Ritze	Kneipe	53.550081	9.959369	
Q444049	Altonaer Theater	Schauspielhaus	53.54896389	9.93436667	Museumstraße 17, 22765 Hamburg
Q96176846	Staatliche Jugendmusikschule Hamburg	Musikschule	53.57193	9.99358	Mittelweg 42
Q107649691	Montessorischule Hamburg-Bergedorf	Privatschule	53.48112	10.24181	August-Bebel-Straße 196
Q105564991	Schule Klotzenmoorstieg	Schulgebäude	53.61099	9.98246	Klotzenmoorstieg 2
Q317901	Teufelsbrück	Yachthafen	53.547438	9.866077	
Q104916002	Helios-Theater	Kino	53.55046111111111	9.954530555555555	Große Bergstr. 11/15, Altona
Q28738235	Asklepios Medical School	Medizinschule	53.55862	10.01978	
Q1821466	Leuchtturm Unterfeuer Blankenese	Leuchtturm	53.55769	9.79583	
Q1009270	Bundeswehrkrankenhaus Hamburg	Kulturdenkmal in Deutschland	53.594478	10.07599	Lesserstraße 180, 22049 Hamburg
Q2328170	Stadtteilschule Stellingen	Gesamtschule	53.58546111	9.94123056	Brehmweg 60, 22527 Hamburg
Q110915181	Neuländer Elbdeich 206	Schulgebäude	53.47003	10.02798	Neuländer Elbdeich 206
Q72800715	Schule Ohkamp	Schulgebäude	53.63669	10.02193	Ohkampring 13
Q34378980	Landhaus-Lichtspiele	Kino	53.56561	9.88076	Kalckreuthweg 90, 22607 Hamburg
Q67015448	Schule Knauerstraße	Grundschule	53.59012	9.99044	
Q1534110	Goethe-Gymnasium	Schulgebäude	53.5981	9.89216944	Rispenweg 28
Q209340	U-Bahnhof HafenCity Universität	U-Bahnhof	53.540505	10.008515	
Q34378729	Bambi Kino	Kino	53.55314	9.95774	Paul-Roosen-Straße 33, 22727 Hamburg
Q46017491	Theater „Haus im Park“	Theatergebäude	53.48912	10.21899	Gräpelweg 8, 21029 Hamburg
Q111142048	Reeseberg 8	katholische Bekenntnisschule	53.44979	9.98835	Reeseberg 8
Q18681278	Trinkhalle (Hamburg)	Gebäude	53.59274	10.01407	
Q111550318	Hellgrundweg 45	Berufsschule	53.58889	9.89117	Hellgrundweg 45
Q38967434	Logenhaus	Gebäude	53.56412	9.98656	
Q108528345	Hochbunker Rethedamm	Luftschutzbunker	53.50537	9.9668	Rethedamm 8
Q50038658	Martini-Klinik	Gesundheitsorganisation	53.592596	9.978525	
Q106726848	Schule Jenfelder Straße	Schulgebäude	53.57672	10.13233	Jenfelder Straße 252
Q111473612	Freiwillige Feuerwehr Moorwerder	Freiwillige Feuerwehr	53.47936	10.05324	Bauernstegel 2
Q4732127	Bahnhof Allermöhe	S-Bahnstation	53.490278	10.158333	Fleetplatz 1
Q61637402	Civa-Varieté	abgegangenes Bauwerk	53.54751	9.96712	
Q19979483	Leuchtturm Julssand	Leuchtturm	53.621666666667	9.5561111111111	
Q7917951	Bahnhof Veddel (BallinStadt)	S-Bahnstation	53.521667	10.013333	Wilhelmsburger Platz
Q65920862	Stadtteilschule Mümmelmannsberg	Schulgebäude	53.53102	10.14845	Mümmelmannsberg 75
Q1584947	Harburger Theater	Theatergebäude	53.45902778	9.97730556	
Q61658221	Stadttheater Harburg	Theatergebäude	53.46101	9.97361	Kerschensteinerstraße, Harburg an der Elbe, Hamburg
Q115125323	Bildungszentrum Hören und Kommunikation	Schulgebäude	53.55295	9.89941	Holmbrook 20
Q72820633	Stadtparkturm	Bürogebäude	53.60575	10.01149	
Q88271283	Tivoli-Theater	abgegangenes Bauwerk	53.5738858	9.9388728	
Q101243139	Schule Eschenweg	Schulgebäude	53.62615	10.01655	Eschenweg 1
Q732056	Asklepios Klinik St. Georg	Krankenhaus	53.559049	10.01802	Lohmühlenstr. 5, 20099 Hamburg
Q63425818	Schule Rellinger Straße	Grundschule	53.57417	9.94223	Rellinger Straße 13
Q56878399	Hafenpolizeiwache No 2	Polizeidienststelle	53.543107184096584	9.98308518371338	
Q34378777	CinemaxX Dammtor	Kino	53.55937	9.99074	Dammtordamm 1, 20354 Hamburg
Q100542670	Kurt-Juster-Schule	Schulgebäude	53.61372	10.02122	Alsterdorfer Straße 420
Q34561228	Albrecht-Thaer-Gymnasium	Gymnasium	53.60046	9.92512	Wegenkamp 3, 22527 Hamburg
Q16220573	Bahnhof Sülldorf	S-Bahnstation	53.58106	9.79757	Sülldorfer Kirchenweg
Q2250980	Staatliche Handelsschule mit Wirtschaftsgymnasium Wendenstraße	Schule	53.54898056	10.03393889	
Q6052961	International School of Hamburg	Schule	53.56573	9.86074	Hemmingstedter Weg 130
Q109348553	Schule Mittlerer Landweg	Schulgebäude	53.49906	10.13301	Mittlerer Landweg 48
Q636803	Archäologischer Wanderpfad in der Fischbeker Heide	Freilandmuseum	53.44035	9.85145	
Q56426082	Michael Schule Harburg, Waldorfschule für heilende Erziehung	Waldorfschule	53.46541	9.95959	
Q108901865	Schule Schnuckendrift	Schulgebäude	53.46687	9.8388	Schnuckendrift 21
Q2087984	Philipsturm	Turm	53.56130556	9.98055556	
Q826353	U-Bahnhof St. Pauli	U-Bahnhof	53.55027778	9.97	
Q108923231	Schule Neuwiedenthaler Straße	Schulgebäude	53.47616	9.86489	Neuwiedenthaler Straße 4
Q1103179	Club de Sade	Nachtclub	53.5473999	9.9604194	
Q104533988	Schule Alsterredder	Schulgebäude	53.65887	10.09962	Alsterredder 28
Q18629535	Ohlendorff'sche Villa	Wohngebäude	53.64844	10.166094	
Q961913	Planetarium Hamburg	Planetarium	53.5972	10.0089	Linnering 1 (Stadtpark), 22299 Hamburg
Q1335750	Schule Krausestraße	Ganztagsschule	53.58083333	10.0575	Krausestraße 53
Q1087323	Christuskirche	Kirchengebäude	53.558596	10.046588	
Q68301160	Grundschule Edwin-Scharff-Ring	Grundschule	53.61581	10.04906	
Q84316381	Schule Humboldtstraße	Schulgebäude	53.5735	10.02728	Humboldtstraße 30
Q78163793	Emil-Krause-Schule	weiterführende Schule	53.5808333333333	10.0575	
