Typ	Wikidata	Wikidata	Wikidata	Wikidata	Wikidata
Friedhof <Grabstätten; Friedhofskapelle; u.a.>	1
Fabrikgebäude (Eisen- und Stahlgießerei)	1
Gaswerksgebäude/ Betriebsgebäude (Verwaltungsgebäude)	1
Gaswerksgebäude/ Betriebsgebäude (Halle; Kohlenschuppen)	1
Bahnbrücke (Industriebahn)	1
Gaswerksgebäude/ Betriebsgebäude; Einfriedung (zur Straße)	1
Gaswerksgebäude/ Betriebsgebäude (Halle; Kohlenschuppen mit höherem Kohlenbunker)	1
Denkmal <Gedenkstein/Eichen/Rasenfläche>	1
Gedenksteine (Findlinge)	1
Werksgebäude (Mälzerei)	1
Staffagebau/ Gaststätte (Typ Niedersächsisches Bauernhaus)	1
Gaswerksgebäude/ Betriebsgebäude (Werkstattgebäude)	1
Torhaus/ Wohngebäude (Altenheim/Pflegeheim)	1
Friedhof; Grabsteine	1
Grabmal (Ehrengrabstätte mit Gedenkstein und eingefriedetem Grabfeld)	1
Speicher/ Fabrikgebäude	1
Militärversorgungseinrichtung (Proviantamt) <Dienstgebäude; Scheune; Lagerschuppen; Bäckerei; Latrine; Einfriedung; Pflaster; Baumbestand>	1
Gaswerksgebäude/ Betriebsgebäude (Uhren- und Reglerhaus)	1
Dienstwohngebäude	1
Militärversorgungseinrichtung (Bekleidungsamt) <Werkgebäude; Dienstgebäude/Wohngebäude; Einfriedung; Freiflächen>	1
Park (Volkspark)	1
Nebengebäude (Kindertagesstätte)	1
Reihenhaus (Dreifachhaus)	1
Fabrikgebäude (Fabrikhalle für Stahlfabrikation)	1
Fabrikgebäude (Sheddachhalle)	1
Fabrikgebäude (Arbeitshalle)	1
Fabrikgebäude (Kontorgebäude/Maschinenhaus/Wohnhaus)	1
Fabrikgebäude (Werkstattgebäude)	1
Fabrikgebäude (Kontorgebäude mit Lagertrakt südwärts)	1
Bunkerhaus (Krankenhausbunker); Tunnel (unter der Bülowstraße)	1
Fabrikgebäude (Geschossbau)	1
Kate/ Bauernhaus {Wohnhaus (nach Umbau)}	1
Einfriedung/Freisitz/Garage	1
Villa; Schule (nach Umnutzung 1898)	1
Mehrfamilienhaus; Einfriedung; Tor	1
Landhaus; Zaun	1
Gärtnerhaus; Zaun	1
Wirtschaftsgebäude/ Stallgebäude	1
Tunnel	1
Mehrfamilienhaus; Gartenpavillon; historische Teile der Einfriedung (insbesondere Mauer an Straßenecke); u.a.	1
Kriegerdenkmal (Kriegerdenkmal 1848 und 1870/ 71)	1
Mehrfamilienhaus; u.a.	1
Villa (einschl. des Inventars)	1
Stallgebäude (mit Wohnteil) {Wohnhaus (nach Umbau)}	1
Stallgebäude {Wohnhaus (nach Umbau)}	1
Mehrfamilienhaus (mit Werkstatt und Laden)	1
Gasreglerhaus/ Wohnhaus	1
Mehrfamilienhaus (mit Werkstatt)	1
Kriegerdenkmal (Kriegerdenkmal 1870/ 71) (Findling unter Eiche)	1
