ID	Commonscat
29333	St. Olaf (Hamburg-Horn)
30178	Timotheuskirche (Hamburg-Horn)
14841	Timotheuskirche (Hamburg-Horn)
14842	Timotheuskirche (Hamburg-Horn)
14843	Timotheuskirche (Hamburg-Horn)
13073	Washingtonallee (Hamburg)
14251	Timotheuskirche (Hamburg-Horn)
13086	Spangenberg-Mosaiken (1954) Hamburg-Horn
26912	Christophorus-Kirche (Hamburg-Hummelsbüttel)
26910	Christophorus-Kirche (Hamburg-Hummelsbüttel)
39156	Schule Grotefendweg
30373	Offizierswohnungen Lachmannweg / Schenefelder Landstraße
29376	Schule Musäusstraße
30331	Reichspräsident-Ebert-Kaserne
44922	Helmut-Schmidt-Universität
44923	Helmut-Schmidt-Universität
44924	Helmut-Schmidt-Universität
44936	Helmut-Schmidt-Universität
44937	Helmut-Schmidt-Universität
31011	Lettow-Vorbeck-Kaserne (Hamburg)
29652	Der Gute Hirte (Hamburg-Jenfeld)
23341	Tansania-Park
23342	Tansania-Park
29778	Heinrich-Osterath-Straße 45
31125	St. Severini (Hamburg-Kirchwerder)
27626	St. Severini (Hamburg-Kirchwerder)
27627	St. Severini (Hamburg-Kirchwerder)
27628	Bell tower of Church Kirchwerder
27629	St. Severini (Hamburg-Kirchwerder)
29773	St. Severini (Hamburg-Kirchwerder)
29779	Schule Zollenspieker
27607	Kirchwerder Elbdeich 276
29780	Schule Kirchwerder Hausdeich
27597	Wrauster Bogen 54
27587	Zollenspieker Fährhaus
13018	Kaischuppen 50
14500	Kaischuppen 51
14501	Kaischuppen 52
14827	Bremer Kai
14798	Dessauer Ufer subcamp
14788	Dessauer Ufer subcamp
14514	Hansahöft
30201	Wasserschutzpolizeischule Hamburg
30982	Fritz-Schumacher-Siedlung
28374	Borner Stieg 32, 34
30984	St. Jürgen-Kirche (Hamburg-Langenhorn)
24172	St. Jürgen-Kirche (Hamburg-Langenhorn)
30986	Essener Straße „Schwarzwald-Siedlung“ HH-Langenhorn
24170	Essener Straße 94 Büro- und Gewerbegebäude HH-Langenhorn
24158	Krankenhaus Ochsenzoll HH-Langenhorn
29629	Schule Foorthkamp 42
