ID	Adresse	Geogr. Br.	Geogr. Lg.	PLZ
12608	Rademachergang o.Nr. vor Nr. 10	53.552279	9.981897	20355
12623	Holstenwall o.Nr. nördlich von Nr. 3|Sievekingplatz o.Nr. östlich von Nr. 1	53.555388	9.978204	20355
12666	Gänsemarkt o.Nr. an der Ostseite des Platzes	53.555051	9.988849	20354
12686	Großneumarkt o.Nr. vor Nr. 37/ 38	53.550211	9.979918	20459
12710	Sievekingplatz o.Nr.	53.556281	9.978083	20355
12711	Holstenwall o.Nr. südlich von Nr. 24	53.55052	9.973358	20355
12741	Am Elbtunnel o.Nr. o. Nr.|Bei den St. Pauli-Landungsbrücken o.Nr. o. Nr.	53.54386	9.966554	20457
12746	Bei den St. Pauli-Landungsbrücken o.Nr.|Davidstraße o.Nr.|St. Pauli Hafenstraße o.Nr.	53.546514	9.965739	20359
12787	Kersten-Miles-Brücke o.Nr.	53.547449	9.97115	20459
12837	Lombardsbrücke o.Nr.	53.557022	9.997301	20354
12841	Neuer Wall o.Nr. gegenüber von Nr. 86	53.550094	9.987097	20354
12854	Pulverturmsbrücke o.Nr.	53.547871	9.983406	20459
12895	Reeperbahn o.Nr. nördöstlich von Spielbudenplatz 1	53.549839	9.967428	20359
12936	Dammtordamm o.Nr.	53.55829	9.992251	20354
12937	Dammtordamm o.Nr.	53.558697	9.991452	20354
12938	Neuer Jungfernstieg o.Nr. auf der Terrasse an der Westecke des Binnenalsterbeckens	53.556966	9.993779	20354
13018	Australiastraße o.Nr.	53.526584	9.999624	20457
13024	Lippeltstraße o.Nr.|Schleusenkanal	53.544919	10.015153	20097
13058	St. Georgstraße 10	53.556453	10.006618	20099
13064	St. Georgstraße 21	53.556223	10.006449	20099
13095	Horner Landstraße o.Nr.	53.552157	10.075237	22111
13097	Johannisbollwerk o.Nr. gegenüber Nr. 19 auf dem Hochwasserweg	53.545104	9.973256	20459
13098	Sievekingplatz o.Nr. vor dem Oberlandesgericht	53.556524	9.977607	20355
13099	Stenvort o.Nr.	53.568816	9.945699	22769
13100	Holstenwall o.Nr. südlich des Haupteingangs von Nr. 24 (Museum für Hamburgische Geschichte)	53.550542	9.973815	20355
13101	Holstenwall o.Nr. südlich des Haupteingangs von Nr. 24 (Museum für Hamburgische Geschichte)	53.550475	9.973768	20355
13102	Gänsemarkt o.Nr. nördlich von Nr. 21	53.554937	9.988766	20354
13134	Insel Neuwerk o.Nr.	53.914874	8.495975	27499
13135	Leuchtturm Neuwerk	53.915249	8.495851	27499
13146	Steinwerder Kai o.Nr.			
13150	Ellerholzschleusenbrücke	53.525987	9.973125	20457
13151	Ellerholzschleuse	53.525997	9.97332	20457
13153	Reiherdamm o.Nr.	53.532932	9.969272	20457
13155	Hachmannkai o.Nr.	53.523727	9.952909	20457
13161	Auguste-Victoria-Kai o.Nr.	53.533306	9.957627	20457
13212	Glashüttenstraße 88	53.559207	9.973391	20357
13217	Grabenstraße o.Nr. an der Westseite der Straße|Laeiszstraße o.Nr. an der Westseite der Straße|Vorwerkstraße o.Nr. an der Nordseite der Straße	53.559599	9.970449	20357
13255	Karolinenstraße 2a HAUS 1|Karolinenstraße 2a HAUS 2	53.557243	9.974701	20357
13256	Karolinenstraße 2a HAUS 4	53.557259	9.974207	20357
13257	Karolinenstraße 2a HAUS 5	53.557291	9.97384	20357
13260	Karolinenstraße 5a HAUS 1|Karolinenstraße 5a HAUS 2|Karolinenstraße 5a HAUS 3|Karolinenstraße 5a HAUS 4|Karolinenstraße 5a HAUS 5|Karolinenstraße 5a HAUS 6|Karolinenstraße 5a HAUS 7|Karolinenstraße 5a HAUS 8	53.557519	9.974248	20357
13269	Karolinenstraße 24	53.559335	9.974311	20357
13285	Schule Laeiszstraße (ehem.)	53.55909	9.969812	20357
13309	Marktstraße 13	53.55813	9.973363	20357
13337	Neuer Pferdemarkt o.Nr. vor Nr. 33	53.557285	9.964502	20359
13435	Kirchenstraße o.Nr. südlich von Nr. 40	53.54843	9.950527	22767
13436	Carsten-Rehder-Straße o.Nr.|De-Voß-Straße o.Nr.	53.545473	9.949603	22767
13473	Grabenstraße  o.Nr., westlich der Straße|Vorwerkstraße  o.Nr., nördlich der Straße	53.559977	9.971018	20357
13504	Beim Grünen Jäger o.Nr. vor der Garageneinfahrt von Nr. 13	53.557749	9.963093	20359
13505	Beim Grünen Jäger o.Nr. südlich von Nr. 16	53.557951	9.96314	20359
13558	Beim Grünen Jäger o.Nr. vor Nr. 16	53.558046	9.963161	20359
13559	Beim Grünen Jäger o.Nr. östlich von Nr. 21	53.558587	9.963503	20359
13560	Beim Grünen Jäger o.Nr. östlich von Nr. 26	53.559056	9.963833	20359
13561	Schanzenstraße o.Nr. östlich von Nr. 1	53.559498	9.964162	20357
13562	Schanzenstraße o.Nr. südlich von Nr. 3	53.559645	9.964266	20357
13563	Schanzenstraße o.Nr. südöstlich von Nr. 3/ 5	53.559793	9.964365	20357
13564	Schulterblatt o.Nr. westlich von Nr. 70	53.561794	9.962266	20357
13565	Schulterblatt o.Nr. westlich von Nr. 84/ 86	53.562358	9.961735	20357
13566	Schulterblatt o.Nr. westlich von Nr. 88	53.562528	9.961551	20357
13567	Schulterblatt o.Nr. westlich von Nr. 88/ 92	53.562602	9.961471	20357
13568	Schulterblatt o.Nr. westlich von Nr. 98	53.562888	9.961102	20357
13569	St.Petersburger Straße o.Nr.	53.560949	9.980057	20355
13666	Hansaplatz o.Nr.	53.554681	10.012045	20099
13772	Müggenburger Kanal|Müggenburger Zollhafen|Peute-Kanal	53.522623	10.027169	20539
13773	Reginenortbrücke o.Nr.	53.521505	10.028042	20539
13776	Hovestraße o.Nr.|Moorkanalbrücke o.Nr.|Peutestraße o.Nr.	53.518654	10.043282	20539
13792	Hovestraße o.Nr.|Moorkanalbrücke o.Nr.|Peutestraße o.Nr.	53.518549	10.043189	20539
