ID	Adresse	Geogr. Br.	Geogr. Lg.
17071	Övelgönne 5	53.544954	9.913609
17079	Övelgönne 1	53.544721	9.914324
17085	Övelgönne 6	53.544695	9.913327
17090	Netzestraße o.Nr.	53.605715	9.866992
17097	Ueckerstraße o.Nr.	53.60512	9.879651
17098	Ueckerstraße o.Nr.	53.602422	9.87982
17114	Bellmannstraße o.Nr. Ecke Flottbeker Straße	53.560289	9.880267
17139	Eidelstedter Weg o.Nr. in der Straße westlich von Nr. 107	53.582092	9.943301
17178	Övelgönne o.Nr. südlich Nr. 10	53.544278	9.912435
17206	Övelgönne 17	53.544882	9.911069
17207	Övelgönne 16	53.54483	9.911258
17208	Övelgönne 14	53.544958	9.911623
17209	Övelgönne 10	53.544973	9.912404
17210	Övelgönne 8	53.54501	9.913147
17211	Övelgönne 27|Övelgönne 28	53.544943	9.909535
17315	Övelgönne 23	53.545039	9.910263
17316	Övelgönne 13	53.544918	9.912036
17317	Övelgönne 11	53.544981	9.912253
17318	Övelgönne 9	53.544852	9.912581
17323	Kleiberweg 115 am Rand der Auffahrt unmittelbar westlich dem Gebäude Nr. 115c	53.602499	9.872783
17331	Böttcherkamp o.Nr. südlich von Nr. 107	53.589439	9.865703
17332	Lüdersring o.Nr.	53.594562	9.888662
17333	Lüttkamp o.Nr. östlich Nr. 137a, Ecke Elbgaustraße	53.598999	9.88638
17334	Lüttkamp o.Nr.	53.599236	9.886383
17335	Goldhähnchenstieg o.Nr.	53.6081	9.867924
17336	Spreestraße o.Nr. westlich von Nr. 25, Ecke Franzosenkoppel	53.600753	9.880529
17337	Fahrenort o.Nr. vor Nr. 108	53.599225	9.862302
17338	Fahrenort o.Nr.	53.599763	9.870513
17339	Spreestraße o.Nr.	53.600807	9.888629
17340	Lüdersring o.Nr.	53.593714	9.883619
17341	Bornheide o.Nr.	53.590955	9.852872
17342	Luruper Hauptstraße o.Nr.|Lüttkamp o.Nr.	53.590487	9.87055
17358	Övelgönne 26	53.544912	9.909719
17360	Övelgönne 24	53.545018	9.910115
17361	Övelgönne 22	53.544971	9.910411
17363	Övelgönne 20	53.545107	9.91057
17364	Övelgönne 19	53.544975	9.910713
17365	Övelgönne 18	53.544956	9.910898
17388	Strandweg  o.Nr., am Knüll	53.557141	9.802842
17412	Sülldorfer Kirchenweg o.Nr. nordwestlich der Kirche, vor dem Denkmal für 1914/ 18 und 1939/ 45	53.579644	9.797052
17413	Sülldorfer Kirchenweg o.Nr. nordwestlich der Kirche, hinter dem Denkmal für 1870/ 71	53.579564	9.797076
17463	Bahrenfelder Chaussee o.Nr. hinter Nr. 49	53.564657	9.912664
17464	Flurstraße o.Nr. südlich von Nr. 3	53.592144	9.870219
